Fecha,Primero,Último,Mínimo,Máximo,Promedio simple,Promedio ponderado,Promedio ponderado sesión anterior
1 Ene 2021,0.00,0.00,0.00,0.00,0.00,0.00,615.43
2 Ene 2021,,,,,,,
3 Ene 2021,,,,,,,
4 Ene 2021,611.00,614.50,611.00,615.94,614.18,614.21,615.43
5 Ene 2021,612.00,615.20,612.00,615.50,614.87,615.02,614.21
6 Ene 2021,614.20,615.89,614.01,616.25,615.69,615.87,615.02
7 Ene 2021,616.00,616.50,615.50,617.25,616.54,616.48,615.87
8 Ene 2021,616.50,616.35,615.15,617.90,616.29,616.25,616.48
9 Ene 2021,,,,,,,
10 Ene 2021,,,,,,,
11 Ene 2021,615.00,614.89,614.60,615.70,615.00,614.97,616.25
12 Ene 2021,614.15,612.00,611.50,615.00,612.84,612.50,614.97
13 Ene 2021,613.15,610.05,609.51,613.41,610.08,609.97,612.50
14 Ene 2021,608.10,609.85,607.90,610.00,608.29,608.41,609.97
15 Ene 2021,608.88,610.50,608.30,610.70,609.69,609.94,608.41
16 Ene 2021,,,,,,,
17 Ene 2021,,,,,,,
18 Ene 2021,609.75,609.80,609.70,611.00,609.84,609.79,609.94
19 Ene 2021,614.97,610.49,610.03,614.97,610.48,610.49,609.79
20 Ene 2021,611.00,612.05,611.00,613.50,612.03,612.04,610.49
21 Ene 2021,616.99,612.50,608.01,617.00,612.33,612.33,612.04
22 Ene 2021,610.00,612.80,610.00,615.00,612.81,612.66,612.33
23 Ene 2021,,,,,,,
24 Ene 2021,,,,,,,
25 Ene 2021,613.00,613.68,611.30,614.00,613.61,613.68,612.66
26 Ene 2021,614.95,614.00,613.35,614.95,614.03,614.00,613.68
27 Ene 2021,613.25,614.50,613.25,614.50,614.22,614.34,614.00
28 Ene 2021,610.30,614.00,610.30,615.50,613.77,613.79,614.34
29 Ene 2021,611.50,614.35,611.50,615.00,614.22,614.31,613.79
30 Ene 2021,,,,,,,
31 Ene 2021,,,,,,,
1 Feb 2021,614.99,614.30,614.00,616.84,614.61,614.50,614.31
2 Feb 2021,614.50,613.90,613.80,616.00,614.08,613.96,614.50
3 Feb 2021,613.50,613.25,613.15,613.75,613.27,613.25,613.96
4 Feb 2021,613.01,612.10,611.80,613.25,612.02,612.01,613.25
5 Feb 2021,612.00,612.15,610.50,612.25,611.92,612.07,612.01
6 Feb 2021,,,,,,,
7 Feb 2021,,,,,,,
8 Feb 2021,614.00,612.20,611.50,614.00,612.23,612.17,612.07
9 Feb 2021,614.00,612.28,611.80,614.01,612.37,612.31,612.17
10 Feb 2021,613.00,612.30,611.05,613.00,612.23,612.24,612.31
11 Feb 2021,610.10,611.00,610.10,611.50,610.90,610.87,612.24
12 Feb 2021,610.60,610.65,609.00,610.85,610.11,610.21,610.87
13 Feb 2021,,,,,,,
14 Feb 2021,,,,,,,
15 Feb 2021,611.00,611.75,609.60,615.00,611.14,611.45,610.21
16 Feb 2021,610.00,612.85,610.00,613.00,612.67,612.76,611.45
17 Feb 2021,613.00,612.66,609.55,613.99,612.61,612.64,612.76
18 Feb 2021,611.11,612.30,611.11,612.99,612.29,612.30,612.64
19 Feb 2021,613.00,612.15,610.11,613.00,611.90,611.98,612.30
20 Feb 2021,,,,,,,
21 Feb 2021,,,,,,,
22 Feb 2021,614.97,611.52,611.00,615.00,611.58,611.52,611.98
23 Feb 2021,611.02,611.85,611.01,611.90,611.63,611.73,611.52
24 Feb 2021,612.00,612.65,611.50,612.90,612.50,612.54,611.73
25 Feb 2021,613.00,613.60,612.25,614.00,613.19,613.16,612.54
26 Feb 2021,613.10,614.60,613.10,615.00,614.42,614.47,613.16
27 Feb 2021,,,,,,,
28 Feb 2021,,,,,,,
29 Feb 2021,,,,,,,
1 Mar 2021,614.00,613.80,613.05,615.00,613.80,613.80,614.47
2 Mar 2021,613.11,613.50,613.01,613.75,613.33,613.33,613.80
3 Mar 2021,612.75,612.88,612.51,614.00,612.87,612.87,613.33
4 Mar 2021,613.00,612.56,612.05,613.00,612.53,612.54,612.87
5 Mar 2021,614.75,611.96,611.75,614.75,612.03,611.96,612.54
6 Mar 2021,,,,,,,
7 Mar 2021,,,,,,,
8 Mar 2021,611.05,611.22,611.00,612.00,611.18,611.17,611.96
9 Mar 2021,610.80,610.85,610.00,611.75,610.58,610.55,611.17
10 Mar 2021,610.00,611.10,610.00,611.10,610.78,610.90,610.55
11 Mar 2021,610.50,611.50,610.11,611.70,611.23,611.29,610.90
12 Mar 2021,609.55,611.70,609.51,613.00,611.33,611.38,611.29
13 Mar 2021,,,,,,,
14 Mar 2021,,,,,,,
15 Mar 2021,609.12,611.05,609.11,612.00,610.94,610.96,611.38
16 Mar 2021,611.20,611.49,611.10,612.00,611.38,611.42,610.96
17 Mar 2021,611.00,611.50,611.00,612.00,611.50,611.49,611.42
18 Mar 2021,612.00,611.60,611.00,612.00,611.47,611.53,611.49
19 Mar 2021,611.00,611.92,611.00,613.00,611.76,611.74,611.53
20 Mar 2021,,,,,,,
21 Mar 2021,,,,,,,
22 Mar 2021,610.89,612.18,610.00,613.00,612.00,612.09,611.74
23 Mar 2021,612.90,612.95,612.15,613.00,612.86,612.90,612.09
24 Mar 2021,613.00,614.00,612.00,616.00,613.97,614.04,612.90
25 Mar 2021,614.40,613.50,613.00,614.40,613.50,613.50,614.04
26 Mar 2021,614.00,614.46,613.50,616.99,614.53,614.47,613.50
27 Mar 2021,,,,,,,
28 Mar 2021,,,,,,,
29 Mar 2021,613.00,614.30,613.00,615.50,614.31,614.34,614.47
30 Mar 2021,614.50,613.54,613.41,614.50,613.62,613.54,614.34
31 Mar 2021,612.00,612.58,612.00,614.50,612.60,612.57,613.54
1 Abr 2021,0.00,0.00,0.00,0.00,0.00,0.00,612.57
2 Abr 2021,0.00,0.00,0.00,0.00,0.00,0.00,612.57
3 Abr 2021,,,,,,,
4 Abr 2021,,,,,,,
5 Abr 2021,612.00,612.20,612.00,612.75,612.22,612.16,612.57
6 Abr 2021,612.00,612.25,611.10,612.45,612.05,612.15,612.16
7 Abr 2021,612.05,613.00,612.05,613.10,612.73,612.85,612.15
8 Abr 2021,612.00,613.55,612.00,613.90,613.44,613.51,612.85
9 Abr 2021,614.00,614.25,613.01,614.40,614.03,614.15,613.51
10 Abr 2021,,,,,,,
11 Abr 2021,,,,,,,
12 Abr 2021,612.50,613.97,611.00,615.00,613.90,613.95,614.15
13 Abr 2021,612.77,614.40,612.76,614.45,614.08,614.16,613.95
14 Abr 2021,614.21,614.40,613.86,614.49,614.08,614.05,614.16
15 Abr 2021,614.00,614.30,613.25,614.99,614.14,614.23,614.05
16 Abr 2021,614.99,614.75,614.00,614.99,614.61,614.69,614.23
17 Abr 2021,,,,,,,
18 Abr 2021,,,,,,,
19 Abr 2021,614.99,614.94,614.02,615.50,614.94,614.94,614.69
20 Abr 2021,614.80,615.36,614.11,616.00,615.33,615.32,614.94
21 Abr 2021,615.00,616.15,615.00,616.40,616.06,616.13,615.32
22 Abr 2021,616.49,616.50,616.25,616.70,616.49,616.49,616.13
23 Abr 2021,616.25,617.05,616.25,617.25,616.91,617.01,616.49
24 Abr 2021,,,,,,,
25 Abr 2021,,,,,,,
26 Abr 2021,617.00,617.80,616.56,618.23,617.69,617.77,617.01
27 Abr 2021,618.00,619.00,617.50,620.50,618.74,619.17,617.77
28 Abr 2021,617.01,618.00,617.00,621.97,619.53,619.48,619.17
29 Abr 2021,620.00,615.25,615.05,620.00,616.27,615.60,619.48
30 Abr 2021,615.00,614.55,612.00,616.25,614.39,614.54,615.60
1 May 2021,,,,,,,
2 May 2021,,,,,,,
3 May 2021,0.00,0.00,0.00,0.00,0.00,0.00,614.54
4 May 2021,614.50,616.00,614.50,617.00,615.90,615.99,614.54
5 May 2021,612.51,617.10,612.51,617.75,616.94,617.06,615.99
6 May 2021,616.00,617.75,616.00,618.50,617.70,617.73,617.06
7 May 2021,618.00,617.15,616.55,618.50,617.23,617.11,617.73
8 May 2021,,,,,,,
9 May 2021,,,,,,,
10 May 2021,617.84,617.60,617.00,618.00,617.65,617.64,617.11
11 May 2021,618.00,617.49,616.00,618.99,617.35,617.39,617.64
12 May 2021,618.24,616.66,615.75,618.24,616.57,616.57,617.39
13 May 2021,615.26,615.70,615.25,616.00,615.58,615.57,616.57
14 May 2021,615.02,615.00,614.00,616.00,614.52,614.54,615.57
15 May 2021,,,,,,,
16 May 2021,,,,,,,
17 May 2021,614.50,617.10,614.50,617.96,616.73,617.03,614.54
18 May 2021,618.00,617.99,617.10,618.30,617.96,617.99,617.03
19 May 2021,616.06,618.43,616.06,619.55,618.48,618.43,617.99
20 May 2021,615.00,618.55,615.00,619.00,618.34,618.43,618.43
21 May 2021,615.50,618.65,615.50,618.99,618.50,618.52,618.43
22 May 2021,,,,,,,
23 May 2021,,,,,,,
24 May 2021,617.90,618.58,617.50,618.97,618.44,618.48,618.52
25 May 2021,619.01,618.67,618.60,619.25,618.80,618.71,618.48
26 May 2021,618.99,618.90,618.61,619.05,618.81,618.78,618.71
27 May 2021,618.00,618.76,618.00,619.00,618.72,618.72,618.78
28 May 2021,618.50,619.20,615.65,619.68,618.74,618.99,618.72
29 May 2021,,,,,,,
30 May 2021,,,,,,,
31 May 2021,619.00,620.45,619.00,620.45,620.02,620.20,618.99
1 Jun 2021,618.11,619.50,618.11,620.50,619.83,619.81,620.20
2 Jun 2021,619.50,619.70,619.50,620.00,619.69,619.68,619.81
3 Jun 2021,619.50,619.05,618.01,620.00,618.85,618.92,619.68
4 Jun 2021,617.80,619.20,617.80,619.50,619.03,619.06,618.92
5 Jun 2021,,,,,,,
6 Jun 2021,,,,,,,
7 Jun 2021,620.00,619.15,619.00,620.00,619.19,619.11,619.06
8 Jun 2021,619.00,619.55,619.00,619.75,619.43,619.52,619.11
9 Jun 2021,620.00,619.75,618.10,620.00,619.59,619.64,619.52
10 Jun 2021,619.00,619.00,618.51,619.64,618.86,618.89,619.64
11 Jun 2021,619.00,618.60,618.00,619.00,618.39,618.38,618.89
12 Jun 2021,,,,,,,
13 Jun 2021,,,,,,,
14 Jun 2021,618.61,617.86,617.00,618.65,617.78,617.76,618.38
15 Jun 2021,617.50,617.80,616.00,617.95,617.18,617.35,617.76
16 Jun 2021,617.11,618.45,617.10,618.50,618.12,618.20,617.35
17 Jun 2021,618.50,619.15,618.50,619.25,619.08,619.11,618.20
18 Jun 2021,613.00,619.07,612.00,620.00,619.02,619.05,619.11
19 Jun 2021,,,,,,,
20 Jun 2021,,,,,,,
21 Jun 2021,618.03,619.55,618.03,619.90,619.27,619.39,619.05
22 Jun 2021,620.00,619.75,619.33,620.00,619.67,619.72,619.39
23 Jun 2021,620.00,620.20,619.70,621.40,620.17,620.17,619.72
24 Jun 2021,620.50,619.59,619.35,620.99,619.75,619.58,620.17
25 Jun 2021,617.00,618.95,617.00,620.00,618.60,618.70,619.58
26 Jun 2021,,,,,,,
27 Jun 2021,,,,,,,
28 Jun 2021,618.50,619.95,618.50,620.00,619.74,619.88,618.70
29 Jun 2021,617.60,619.55,617.60,619.75,619.34,619.52,619.88
30 Jun 2021,619.00,619.96,617.25,620.20,619.75,619.96,619.52
1 Jul 2021,619.50,619.57,619.05,625.00,619.62,619.51,619.96
2 Jul 2021,620.25,619.70,619.00,620.25,619.51,619.49,619.51
3 Jul 2021,,,,,,,
4 Jul 2021,,,,,,,
5 Jul 2021,618.55,620.20,618.55,620.98,619.87,620.02,619.49
6 Jul 2021,620.49,621.10,620.00,621.40,620.83,620.84,620.02
7 Jul 2021,619.50,621.80,619.50,622.00,621.67,621.81,620.84
8 Jul 2021,621.50,622.52,621.25,623.00,622.45,622.50,621.81
9 Jul 2021,619.51,620.75,619.01,623.25,621.89,621.38,622.50
10 Jul 2021,,,,,,,
11 Jul 2021,,,,,,,
12 Jul 2021,621.95,620.00,619.96,621.95,620.26,620.18,621.38
13 Jul 2021,620.10,619.25,618.01,620.10,619.01,619.10,620.18
14 Jul 2021,618.65,619.15,618.00,619.25,618.77,618.90,619.10
15 Jul 2021,619.10,619.98,618.00,620.25,619.78,619.91,618.90
16 Jul 2021,618.40,619.61,618.00,620.70,619.78,619.76,619.91
17 Jul 2021,,,,,,,
18 Jul 2021,,,,,,,
19 Jul 2021,619.76,619.75,619.50,620.75,619.82,619.75,619.76
20 Jul 2021,619.00,619.76,619.00,620.50,619.62,619.71,619.75
21 Jul 2021,619.60,619.80,619.21,621.00,619.80,619.74,619.71
